| term                                    |              estimate |            std.error |           statistic |              p.value |
| GenusAbies:chl                          |       -4.011092515425 |     7.88337212289689 |  -0.508804158029655 |    0.610894873985512 |
| GenusAcer:chl                           |      1.68613854094948 |       0.352013052904 |    4.78998868661078 | 1.67933826850765e-06 |
| GenusBetula:chl                         |      3.82782182799129 |     2.06011444111034 |    1.85806271321908 |   0.0631741562273186 |
| GenusCarya:chl                          |       4.1263827896712 |     4.80841154970546 |   0.858159237622652 |     0.39081437912483 |
| GenusCatalpa:chl                        |      12.3987288489023 |     3.88941205602977 |    3.18781570846435 |   0.0014356290195317 |
| GenusCeltis:chl                         |      3.75978232097691 |     1.53048481092822 |    2.45659564481182 |   0.0140341144595213 |
| GenusFraxinus:chl                       |      3.56073555333968 |    0.400677466185794 |    8.88678763803644 | 6.78863333081661e-19 |
| GenusGinkgo:chl                         |      2.74462177418067 |     4.46034955425533 |   0.615337820678696 |    0.538338343618935 |
| GenusGleditsia:chl                      |      2.01735975207919 |    0.581659839283263 |    3.46828097082486 | 0.000524853345707153 |
| GenusJuglans:chl                        |      2.28078288556196 |     2.35204141197227 |   0.969703540912334 |    0.332205503316886 |
| GenusPicea:chl                          |       5.6636275137885 |     1.34950250458742 |    4.19682623376829 | 2.71799141352515e-05 |
| GenusPinus:chl                          |     -1.80480045445126 |     1.97918332996849 |  -0.911891499449922 |    0.361836351531131 |
| GenusPlatanus:chl                       |     -3.16118467248313 |     13.7285943448106 |  -0.230262807180843 |    0.817889812647906 |
| GenusPopulus:chl                        |     -2.63292488388997 |      2.9836083201644 |  -0.882463313329575 |    0.377536456949227 |
| GenusQuercus:chl                        |      1.43983258825614 |    0.961811867618521 |     1.4970002312627 |    0.134408294443281 |
| GenusRobinia:chl                        |      4.40472116035082 |     3.53996105660001 |     1.2442852025557 |    0.213408564934011 |
| GenusThuja:chl                          |      1.39295388194096 |     2.77872329582955 |   0.501292764209944 |    0.616170375164644 |
| GenusTilia:chl                          |     -0.83672595070407 |    0.734608157823367 |   -1.13900988138122 |    0.254712083749052 |
| GenusUlmus:chl                          |      3.81957389726451 |     1.51565745358541 |    2.52007726958951 |    0.011740292552142 |
| GenusAbies:pct_imp_20m:pct_imp_100m     |      39.2728143948997 |     483.605504643943 |  0.0812083692550492 |    0.935277021172702 |
| GenusAcer:pct_imp_20m:pct_imp_100m      |      -4.4892331596607 |     5.45964849115851 |   -0.82225681139192 |    0.410940129117616 |
| GenusBetula:pct_imp_20m:pct_imp_100m    |     -10.9592261101677 |     50.7187597108162 |  -0.216078353900098 |    0.828928780369234 |
| GenusCarya:pct_imp_20m:pct_imp_100m     |     -17.4889507985902 |     54.8409084189857 |   -0.31890337528646 |    0.749802970742246 |
| GenusCatalpa:pct_imp_20m:pct_imp_100m   |     -49.0985907770785 |     37.6437425551185 |   -1.30429621085597 |    0.192146965829997 |
| GenusCeltis:pct_imp_20m:pct_imp_100m    |     -17.1185230925295 |     18.9160003044603 |  -0.904975830883923 |    0.365488620208438 |
| GenusFraxinus:pct_imp_20m:pct_imp_100m  |     -8.05565016695918 |     4.47214485031618 |   -1.80129455475702 |   0.0716708691995688 |
| GenusGinkgo:pct_imp_20m:pct_imp_100m    |     -23.7819998810667 |      68.642658267694 |  -0.346460939614565 |    0.728999821024243 |
| GenusGleditsia:pct_imp_20m:pct_imp_100m |      3.65303082721857 |      5.4588049338276 |   0.669199737213753 |    0.503375463679041 |
| GenusJuglans:pct_imp_20m:pct_imp_100m   |      5.37740320357208 |     27.7006237078989 |   0.194125708513873 |    0.846079338165849 |
| GenusPicea:pct_imp_20m:pct_imp_100m     |     -39.9064859553168 |      25.169157739219 |   -1.58553124299165 |    0.112860808734391 |
| GenusPinus:pct_imp_20m:pct_imp_100m     |     -57.4633494743605 |     29.0953470238665 |   -1.97500134393393 |   0.0482811303732669 |
| GenusPlatanus:pct_imp_20m:pct_imp_100m  |     -125.308698009562 |     290.562457922361 |  -0.431262520648984 |    0.666281945552976 |
| GenusPopulus:pct_imp_20m:pct_imp_100m   |     -63.8741363610436 |     39.5011603498558 |   -1.61701924184809 |    0.105889214867374 |
| GenusQuercus:pct_imp_20m:pct_imp_100m   |     -18.7459857833776 |     17.1135825935691 |   -1.09538640906328 |    0.273360004611013 |
| GenusRobinia:pct_imp_20m:pct_imp_100m   |      8.24563668415201 |     38.2502846996767 |   0.215570596373148 |    0.829324580559219 |
| GenusThuja:pct_imp_20m:pct_imp_100m     |     -119.122771665512 |     54.8756423318696 |   -2.17077680740567 |   0.0299592628448991 |
| GenusTilia:pct_imp_20m:pct_imp_100m     |     -28.8505673929085 |     9.32726759650688 |   -3.09314245510799 |  0.00198310004307884 |
| GenusUlmus:pct_imp_20m:pct_imp_100m     |     -4.58323433346234 |     15.1238947625642 |  -0.303045902224015 |     0.76185789569712 |
